paper_macro,task,task_display,agent,backbone,variant,source_tex,submit_tex,source_bib,submit_bib
Paperone,sfedavg,S-FedAvg,base,dpsk,base_dpsk,../eval-survey/sources/sfedavg/base_dpsk/related_works.tex,experiments/sfedavg/base_dpsk/related_works.tex,../eval-survey/sources/sfedavg/base_dpsk/references.bib,experiments/sfedavg/base_dpsk/references.bib
Paperone,sfedavg,S-FedAvg,base,gpt51,base_gpt51,../eval-survey/sources/sfedavg/base_gpt51/related_works.tex,experiments/sfedavg/base_gpt51/related_works.tex,../eval-survey/sources/sfedavg/base_gpt51/references.bib,experiments/sfedavg/base_gpt51/references.bib
Paperone,sfedavg,S-FedAvg,base,gpt54,base_gpt54,../eval-survey/sources/sfedavg/base_gpt54/related_works.tex,experiments/sfedavg/base_gpt54/related_works.tex,../eval-survey/sources/sfedavg/base_gpt54/references.bib,experiments/sfedavg/base_gpt54/references.bib
Paperone,sfedavg,S-FedAvg,base,sonnet4.6,base_sonnet4.6,../eval-survey/sources/sfedavg/base_sonnet4.6/related_works.tex,experiments/sfedavg/base_sonnet4.6/related_works.tex,../eval-survey/sources/sfedavg/base_sonnet4.6/references.bib,experiments/sfedavg/base_sonnet4.6/references.bib
Paperone,sfedavg,S-FedAvg,reasflow,dpsk,reasflow_dpsk,../eval-survey/sources/sfedavg/reasflow_dpsk/related_works.tex,experiments/sfedavg/reasflow_dpsk/related_works.tex,../eval-survey/sources/sfedavg/reasflow_dpsk/references.bib,experiments/sfedavg/reasflow_dpsk/references.bib
Paperone,sfedavg,S-FedAvg,reasflow,gpt51,reasflow_gpt51,../eval-survey/sources/sfedavg/reasflow_gpt51/related_works.tex,experiments/sfedavg/reasflow_gpt51/related_works.tex,../eval-survey/sources/sfedavg/reasflow_gpt51/references.bib,experiments/sfedavg/reasflow_gpt51/references.bib
Paperone,sfedavg,S-FedAvg,reasflow,gpt54,reasflow_gpt54,../eval-survey/sources/sfedavg/reasflow_gpt54/related_works.tex,experiments/sfedavg/reasflow_gpt54/related_works.tex,../eval-survey/sources/sfedavg/reasflow_gpt54/references.bib,experiments/sfedavg/reasflow_gpt54/references.bib
Paperone,sfedavg,S-FedAvg,reasflow,sonnet4.6,reasflow_sonnet4.6,../eval-survey/sources/sfedavg/reasflow_sonnet4.6/related_works.tex,experiments/sfedavg/reasflow_sonnet4.6/related_works.tex,../eval-survey/sources/sfedavg/reasflow_sonnet4.6/references.bib,experiments/sfedavg/reasflow_sonnet4.6/references.bib
Papertwo,subspacescaffold,Subspace-SCAFFOLD,base,dpsk,base_dpsk,../eval-survey/sources/subspacescaffold/base_dpsk/related_works.tex,experiments/subspacescaffold/base_dpsk/related_works.tex,../eval-survey/sources/subspacescaffold/base_dpsk/references.bib,experiments/subspacescaffold/base_dpsk/references.bib
Papertwo,subspacescaffold,Subspace-SCAFFOLD,base,gpt51,base_gpt51,../eval-survey/sources/subspacescaffold/base_gpt51/related_works.tex,experiments/subspacescaffold/base_gpt51/related_works.tex,../eval-survey/sources/subspacescaffold/base_gpt51/references.bib,experiments/subspacescaffold/base_gpt51/references.bib
Papertwo,subspacescaffold,Subspace-SCAFFOLD,base,gpt54,base_gpt54,../eval-survey/sources/subspacescaffold/base_gpt54/related_works.tex,experiments/subspacescaffold/base_gpt54/related_works.tex,../eval-survey/sources/subspacescaffold/base_gpt54/references.bib,experiments/subspacescaffold/base_gpt54/references.bib
Papertwo,subspacescaffold,Subspace-SCAFFOLD,base,sonnet4.6,base_sonnet4.6,../eval-survey/sources/subspacescaffold/base_sonnet4.6/related_works.tex,experiments/subspacescaffold/base_sonnet4.6/related_works.tex,../eval-survey/sources/subspacescaffold/base_sonnet4.6/references.bib,experiments/subspacescaffold/base_sonnet4.6/references.bib
Papertwo,subspacescaffold,Subspace-SCAFFOLD,reasflow,dpsk,reasflow_dpsk,../eval-survey/sources/subspacescaffold/reasflow_dpsk/related_works.tex,experiments/subspacescaffold/reasflow_dpsk/related_works.tex,../eval-survey/sources/subspacescaffold/reasflow_dpsk/references.bib,experiments/subspacescaffold/reasflow_dpsk/references.bib
Papertwo,subspacescaffold,Subspace-SCAFFOLD,reasflow,gpt51,reasflow_gpt51,../eval-survey/sources/subspacescaffold/reasflow_gpt51/related_works.tex,experiments/subspacescaffold/reasflow_gpt51/related_works.tex,../eval-survey/sources/subspacescaffold/reasflow_gpt51/references.bib,experiments/subspacescaffold/reasflow_gpt51/references.bib
Papertwo,subspacescaffold,Subspace-SCAFFOLD,reasflow,gpt54,reasflow_gpt54,../eval-survey/sources/subspacescaffold/reasflow_gpt54/related_works.tex,experiments/subspacescaffold/reasflow_gpt54/related_works.tex,../eval-survey/sources/subspacescaffold/reasflow_gpt54/references.bib,experiments/subspacescaffold/reasflow_gpt54/references.bib
Papertwo,subspacescaffold,Subspace-SCAFFOLD,reasflow,sonnet4.6,reasflow_sonnet4.6,../eval-survey/sources/subspacescaffold/reasflow_sonnet4.6/related_works.tex,experiments/subspacescaffold/reasflow_sonnet4.6/related_works.tex,../eval-survey/sources/subspacescaffold/reasflow_sonnet4.6/references.bib,experiments/subspacescaffold/reasflow_sonnet4.6/references.bib
Paperthree,sudamuon,SUDA-Muon,base,dpsk,base_dpsk,../eval-survey/sources/sudamuon/base_dpsk/related_works.tex,experiments/sudamuon/base_dpsk/related_works.tex,../eval-survey/sources/sudamuon/base_dpsk/references.bib,experiments/sudamuon/base_dpsk/references.bib
Paperthree,sudamuon,SUDA-Muon,base,gpt51,base_gpt51,../eval-survey/sources/sudamuon/base_gpt51/related_works.tex,experiments/sudamuon/base_gpt51/related_works.tex,../eval-survey/sources/sudamuon/base_gpt51/references.bib,experiments/sudamuon/base_gpt51/references.bib
Paperthree,sudamuon,SUDA-Muon,base,gpt54,base_gpt54,../eval-survey/sources/sudamuon/base_gpt54/related_works.tex,experiments/sudamuon/base_gpt54/related_works.tex,../eval-survey/sources/sudamuon/base_gpt54/references.bib,experiments/sudamuon/base_gpt54/references.bib
Paperthree,sudamuon,SUDA-Muon,base,sonnet4.6,base_sonnet4.6,../eval-survey/sources/sudamuon/base_sonnet4.6/related_works.tex,experiments/sudamuon/base_sonnet4.6/related_works.tex,../eval-survey/sources/sudamuon/base_sonnet4.6/references.bib,experiments/sudamuon/base_sonnet4.6/references.bib
Paperthree,sudamuon,SUDA-Muon,reasflow,dpsk,reasflow_dpsk,../eval-survey/sources/sudamuon/reasflow_dpsk/related_works.tex,experiments/sudamuon/reasflow_dpsk/related_works.tex,../eval-survey/sources/sudamuon/reasflow_dpsk/references.bib,experiments/sudamuon/reasflow_dpsk/references.bib
Paperthree,sudamuon,SUDA-Muon,reasflow,gpt51,reasflow_gpt51,../eval-survey/sources/sudamuon/reasflow_gpt51/related_works.tex,experiments/sudamuon/reasflow_gpt51/related_works.tex,../eval-survey/sources/sudamuon/reasflow_gpt51/references.bib,experiments/sudamuon/reasflow_gpt51/references.bib
Paperthree,sudamuon,SUDA-Muon,reasflow,gpt54,reasflow_gpt54,../eval-survey/sources/sudamuon/reasflow_gpt54/related_works.tex,experiments/sudamuon/reasflow_gpt54/related_works.tex,../eval-survey/sources/sudamuon/reasflow_gpt54/references.bib,experiments/sudamuon/reasflow_gpt54/references.bib
Paperthree,sudamuon,SUDA-Muon,reasflow,sonnet4.6,reasflow_sonnet4.6,../eval-survey/sources/sudamuon/reasflow_sonnet4.6/related_works.tex,experiments/sudamuon/reasflow_sonnet4.6/related_works.tex,../eval-survey/sources/sudamuon/reasflow_sonnet4.6/references.bib,experiments/sudamuon/reasflow_sonnet4.6/references.bib
